rank,singer,title,album
1,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이,쇼미더머니 9 Episode 1
2,Dynamite,방탄소년단,Dynamite (DayTime Version)
3,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다
4,잠이 오질 않네요,장범준,잠이 오질 않네요
5,Life Goes On,방탄소년단,BE
6,Lovesick Girls,BLACKPINK,THE ALBUM
7,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들)
8,Freak (Prod. Slom),릴보이 (lIlBOI),쇼미더머니 9 Episode 1
9,DON'T TOUCH ME,환불원정대,DON'T TOUCH ME
10,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix]
11,오래된 노래,스탠딩 에그,오래된 노래
12,딩가딩가 (Dingga),마마무 (Mamamoo),딩가딩가 (Dingga)
13,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
14,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
15,When We Disco (Duet with 선미),박진영,When We Disco
16,뻔한남자,이승기,뻔한남자
17,가을밤에 든 생각,잔나비,잔나비 소곡집 l
18,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해
19,원해 (Feat. 팔로알토) (Prod. 코드 쿤스트),스윙스,쇼미더머니 9 Episode 1
20,I CAN’T STOP ME,TWICE (트와이스),Eyes wide open
21,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
22,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇
23,How You Like That,BLACKPINK,How You Like That
24,어떻게 지내 (Prod. By VAN.C),오반,어떻게 지내
25,눈누난나 (NUNU NANA),제시 (Jessi),NUNA
26,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
